name,lat,lng,phone,address,imageUrl,openTime,closeTime,tags,rating
Déclic Pêche Tiznit,29.6935,-9.7322,+212 5286-23456,Av. Hassan II Tiznit,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=400,08:00,20:00,Appâts|Cannes|Matériel,4.5
Pêche Pro Agadir,30.4208,-9.5981,+212 5288-45678,Boulevard 20 Août Agadir,https://images.unsplash.com/photo-1604719312566-8912e9227c6a?w=400,07:30,21:00,Appâts|Cannes|Matériel|Bateau,4.7
Maroc Pêche Essaouira,31.5085,-9.7595,+212 5244-78901,Port de Pêche Essaouira,https://images.unsplash.com/photo-1615486511484-92e172cc4fe0?w=400,06:00,22:00,Appâts|Filets|Bateau,4.3
Oued Cherrat Pêche,33.6638,-7.3847,+212 5373-12345,Route Côtière Oued Cherrat,https://images.unsplash.com/photo-1580913428735-bd3c269d6a82?w=400,07:00,19:00,Cannes|Matériel,4.2
Cap Spartel Fishing,35.7917,-5.9347,+212 5393-45678,Cap Spartel Tanger,https://images.unsplash.com/photo-1517260739337-6799d239ce83?w=400,06:30,20:30,Appâts|Cannes|Matériel|Bateau,4.6
Pêcheur du Sud Laâyoune,27.1253,-13.1625,+212 5288-90123,Avenue Smara Laâyoune,https://images.unsplash.com/photo-1605648916361-9bc12ad6a569?w=400,08:00,18:00,Appâts|Cannes|Filets,4.1
Atlantique Pêche Dakhla,23.6848,-15.9570,+212 5289-34567,Av. Moulay Rachid Dakhla,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400,07:00,19:30,Appâts|Cannes|Matériel|Bateau,4.4
Safi Pêche Express,32.2994,-9.2372,+212 5244-56789,Port de Safi,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400,06:30,20:00,Appâts|Filets|Matériel,4.0
Tanger Fishing Gear,35.7595,-5.8340,+212 5399-12345,Quartier Port Tanger,https://images.unsplash.com/photo-1545186070-de624ed19875?w=400,07:30,21:30,Appâts|Cannes|Matériel|Bateau|Filets,4.8
Nador Pêche Aventure,35.1681,-2.9267,+212 5366-78901,Plage Nador,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400,08:00,20:00,Cannes|Matériel,4.3
Al Hoceïma Pêche,35.2517,-3.9372,+212 5399-23456,Plage Quemado,https://images.unsplash.com/photo-1535581652167-3d6b98c36cde?w=400,07:00,19:00,Appâts|Cannes|Filets,4.5
Oualidia Pêche Loisir,32.7333,-9.0333,+212 5233-45678,Lagune Oualidia,https://images.unsplash.com/photo-1516961642265-531546e84af2?w=400,08:30,18:30,Appâts|Cannes|Matériel,4.2
Sidi Ifni Pêche,29.3667,-10.1667,+212 5288-56789,Plage Sidi Ifni,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400,07:00,20:00,Appâts|Filets|Bateau,4.1
Mirleft Pêche Sauvage,29.5833,-10.0333,+212 5288-67890,Plage Mirleft,https://images.unsplash.com/photo-1504280503184-387c028bd687?w=400,08:00,19:00,Cannes|Matériel,4.3
Tamri Pêche Parc,30.6833,-9.8333,+212 5288-78901,Plage Tamri,https://images.unsplash.com/photo-1520166012956-add9ba0835ce?w=400,07:30,19:30,Appâts|Cannes|Matériel,4.0
Imsouane Pêche Surf & Fish,30.8333,-9.8000,+212 5288-89012,Port Imsouane,https://images.unsplash.com/photo-1595247974062-484087ee0ef8?w=400,06:00,21:00,Appâts|Cannes|Matériel|Bateau,4.6
Legzira Pêche,29.0333,-10.0667,+212 5288-90123,Plage Legzira,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400,08:00,18:00,Appâts|Cannes,3.9
Tan-Tan Plage Pêche,28.4333,-11.1000,+212 5288-01234,Plage Tan-Tan,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400,07:00,19:00,Appâts|Filets|Matériel,4.2
Plage Blanche Pêche,28.6167,-11.2333,+212 5288-12345,Plage Blanche,https://images.unsplash.com/photo-1516961642265-531546e84af2?w=400,08:00,17:00,Cannes|Matériel,4.0
Khnifiss Pêche,28.2333,-12.2333,+212 5288-23456,Lagune Khnifiss,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400,07:00,18:00,Appâts|Filets,4.1
Port de Casablanca Pêche,33.6068,-7.6306,+212 5222-34567,Port de Pêche Casablanca,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=400,05:00,22:00,Appâts|Cannes|Matériel|Bateau|Filets,4.5
Mohammedia Pêche,33.6861,-7.3828,+212 5233-45678,Port Mohammedia,https://images.unsplash.com/photo-1604719312566-8912e9227c6a?w=400,06:30,20:30,Appâts|Cannes|Matériel,4.3
Rabat Pêche Plage,34.0333,-6.8000,+212 5377-56789,Plage des Nations Rabat,https://images.unsplash.com/photo-1615486511484-92e172cc4fe0?w=400,07:00,21:00,Appâts|Cannes|Matériel|Bateau,4.4
Skhirat Pêche,33.8500,-7.0333,+212 5373-67890,Plage Skhirat,https://images.unsplash.com/photo-1580913428735-bd3c269d6a82?w=400,08:00,19:00,Cannes|Matériel,4.1
Asilah Pêche,35.4667,-6.0333,+212 5393-78901,Port d'Asilah,https://images.unsplash.com/photo-1517260739337-6799d239ce83?w=400,07:30,20:00,Appâts|Filets|Bateau,4.3
Larache Pêche,35.1833,-6.1500,+212 5391-89012,Port Larache,https://images.unsplash.com/photo-1605648916361-9bc12ad6a569?w=400,07:00,19:30,Appâts|Cannes|Matériel,4.2
Fnideq Pêche,35.8500,-5.3667,+212 5396-90123,Plage Fnideq,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400,08:00,18:00,Cannes|Matériel,4.0
Martil Pêche,35.6167,-5.2667,+212 5396-01234,Plage Martil,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400,07:00,20:00,Appâts|Cannes,4.1
M'diq Pêche,35.6833,-5.3167,+212 5396-12345,Port M'diq,https://images.unsplash.com/photo-1504280503184-387c028bd687?w=400,06:30,21:00,Appâts|Cannes|Matériel|Bateau,4.5
Cabo Negro Pêche,35.5500,-5.2833,+212 5396-23456,Plage Cabo Negro,https://images.unsplash.com/photo-1520166012956-add9ba0835ce?w=400,08:00,19:00,Appâts|Matériel,4.2
Tétouan Pêche,35.5833,-5.3667,+212 5396-34567,Río Martil Tétouan,https://images.unsplash.com/photo-1595247974062-484087ee0ef8?w=400,07:00,19:00,Appâts|Cannes|Filets,4.3
Chaouen Pêche,35.1667,-5.2667,+212 5396-45678,Akchour Chaouen,https://images.unsplash.com/photo-1545186070-de624ed19875?w=400,08:30,17:30,Matériel|Cannes,4.0
Ksar Sghir Pêche,35.8333,-5.5500,+212 5399-56789,Plage Ksar Sghir,https://images.unsplash.com/photo-1535581652167-3d6b98c36cde?w=400,07:00,18:00,Appâts|Matériel,4.1
Jebha Pêche,35.2167,-5.2333,+212 5391-67890,Plage Jebha,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400,08:00,19:00,Appâts|Cannes|Bateau,4.4
Oued Laou Pêche,35.4500,-5.0833,+212 5391-78901,Embouchure Oued Laou,https://images.unsplash.com/photo-1516961642265-531546e84af2?w=400,07:30,20:00,Appâts|Filets|Matériel,4.2
El Jadida Pêche,33.2333,-8.5000,+212 5233-89012,Port El Jadida,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400,06:00,21:00,Appâts|Cannes|Matériel|Bateau,4.3
Sidi Bouzid Pêche,33.2167,-8.5333,+212 5233-90123,Plage Sidi Bouzid,https://images.unsplash.com/photo-1504280503184-387c028bd687?w=400,08:00,19:00,Cannes|Matériel,4.0
Oualidia Centre Pêche,32.7333,-9.0333,+212 5233-01234,Lagune Oualidia,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400,07:00,20:00,Appâts|Bateau|Filets,4.4
Mazagan Pêche,33.2500,-8.5333,+212 5233-12345,Plage Mazagan,https://images.unsplash.com/photo-1520166012956-add9ba0835ce?w=400,08:30,18:30,Appâts|Cannes|Matériel,4.1
Azemmour Pêche,33.2833,-8.3333,+212 5233-23456,Oued Oum Errabia,https://images.unsplash.com/photo-1595247974062-484087ee0ef8?w=400,07:00,19:00,Appâts|Filets,4.2
Sidi Rahal Pêche,33.2833,-7.9500,+212 5233-34567,Plage Sidi Rahal,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400,08:00,18:00,Cannes|Matériel,4.0
Bouznika Pêche,33.7833,-7.1667,+212 5377-45678,Plage Bouznika,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400,07:30,19:30,Appâts|Cannes|Matériel,4.3
